Provinsi / Kabupaten / Kota;2021;2022;2023
GROBOGAN;58.03;58.98;58.82
BLORA;64.36;62.64;60.86
REMBANG;65.88;66.96;66.98
PATI;66.65;68.65;67.73
KUDUS;65.54;65.69;66.32
JEPARA;56.66;57.23;58.78
DEMAK;66.83;67.82;68.56
SEMARANG;78.35;75.78;77.86
TEMANGGUNG;84.56;84.8;84.38
KENDAL;76.95;77.05;77.58
BATANG;64.43;64.44;65.63
PEKALONGAN;70.54;71.76;69.78
PEMALANG;81.27;81.57;81.48
TEGAL;72.32;73.76;73.43
BREBES;61.89;61.89;62.14
KOTA MAGELANG;78.65;80.13;79.51
KOTA SURAKARTA;79.32;81.1;81.92
KOTA SALATIGA;79.08;79.29;79.48
KOTA SEMARANG;73.64;73.93;73.86
KOTA PEKALONGAN;57.87;61.37;65.31
KOTA TEGAL;63.34;64.8;65.31
DI YOGYAKARTA;76.57;76.87;78.46
KULON PROGO;71.41;72.27;71.68
BANTUL;65.27;65.03;70.35
GUNUNG KIDUL;76.7;77.93;77.3
SLEMAN;81.31;81.65;79.94
KOTA YOGYAKARTA;73.18;75.5;75.7
JAWA TIMUR;72.36;74.42;74.9
PACITAN;70.45;68.12;73.24
PONOROGO;67.63;67.69;68.52
TRENGGALEK;61.43;62.15;62.63
TULUNGAGUNG;65.06;69.66;72.92
BLITAR;79.68;81.92;81.32
KEDIRI;71.64;73.2;73.36
MALANG;76.69;76.38;76.45
LUMAJANG;59.38;59.61;59.88
JEMBER;66.16;68.69;66.97
BANYUWANGI;74.84;74.57;75.01
BONDOWOSO;65.35;67.87;64.8
SITUBONDO;73.6;74.77;73.16
PROBOLINGGO;68.75;68.36;69.25
PASURUAN;65.75;67.12;65.28
SIDOARJO;67.1;67.34;67.53
MOJOKERTO;80.2;80.59;81.25
JOMBANG;73.76;72.24;71.32
NGANJUK;69.78;70.87;72.46
MADIUN;68.97;70.23;71.72
MAGETAN;70.5;71.45;72.08
NGAWI;71.33;74.49;77
BOJONEGORO;56.14;56.8;56.82
TUBAN;63.51;65.03;65.05
LAMONGAN;74.05;75.49;73.15
GRESIK;71.48;70.13;70.47
BANGKALAN;60.03;61.86;62.34
SAMPANG;55.67;50.18;59.04
PAMEKASAN;52.44;55.54;55.85
SUMENEP;61.79;60.81;62.77
KOTA KEDIRI;84.17;85.03;86.29
KOTA BLITAR;68.6;68.61;67.63
KOTA MALANG;77.63;78.77;78.54
KOTA PROBOLINGGO;65.05;65.81;68.74
KOTA PASURUAN;54.94;54.8;56.11
KOTA MOJOKERTO;70.68;72.34;76.15
KOTA MADIUN;76.75;78.03;78.94
KOTA SURABAYA;82.82;83.2;85.29
KOTA BATU;68.8;67.83;68.65
BANTEN;69.09;68.55;69.87
PANDEGLANG;63.16;64.07;65.22
LEBAK;58.24;57.16;60.08
TANGERANG;62.17;63.35;63.84
SERANG;59.93;58.79;61.91
KOTA TANGERANG;64.86;64.09;63.02
KOTA CILEGON;52.81;51.3;52.16
KOTA SERANG;61.66;62.39;62.98
KOTA TANGERANG SELATAN;73.08;72.67;72.36
BALI;72.17;72.29;73.77
JEMBRANA;74.55;72.4;72.44
TABANAN;78.27;78.51;78.07
BADUNG;76.99;76.33;76.08
GIANYAR;65.64;68.58;68.82
KLUNGKUNG;75.5;75.75;76.07
BANGLI;65.36;65.69;65.57
KARANG ASEM;65.09;64.59;65.79
BULELENG;72.91;73.73;72.57
KOTA DENPASAR;67.02;67.21;69.22
NUSA TENGGARA BARAT;52.54;53.47;53.28
LOMBOK BARAT;57.56;59.68;62.03
LOMBOK TENGAH;60.13;61.76;60.45
LOMBOK TIMUR;65.99;67.44;66.81
SUMBAWA;70.15;69.58;69.54
DOMPU;64.45;64.58;63.95
BIMA;53.26;53.78;53.43
SUMBAWA BARAT;49.22;48.61;48.84
LOMBOK UTARA;47.4;43.45;48.52
KOTA MATARAM;76.42;76.26;77
KOTA BIMA;70.16;69.86;70.76
NUSA TENGGARA TIMUR;74.53;75.22;75.1
SUMBA BARAT;68.44;68.9;69.33
SUMBA TIMUR;64.28;65.02;65
KUPANG;62.8;64.44;65.55
TIMOR TENGAH SELATAN;60.08;60.59;59.72
TIMOR TENGAH UTARA;55.94;56.91;56.91
BELU;74.54;74.52;73.98
ALOR;60.21;61.96;61.5
LEMBATA;52.31;53.46;53.89
FLORES TIMUR;57.56;58.57;58.26
SIKKA;61.53;63.55;65.1
ENDE;65.58;66.02;64.99
NGADA;59.68;59.35;55.41
MANGGARAI;64.58;67.55;67.86
ROTE NDAO;47.2;49.01;49.07
MANGGARAI BARAT;58.46;59.06;57.28
SUMBA TENGAH;53.34;53.76;54.16
SUMBA BARAT DAYA;68.05;68.9;65.04
NAGEKEO;51.82;53.3;53.21
MANGGARAI TIMUR;51.16;53.02;53.62
SABU RAIJUA;56.12;56.54;56.5
MALAKA;58.54;59.4;59.75
KOTA KUPANG;75.58;75.4;75.22
KALIMANTAN BARAT;71.14;73.18;73.05
SAMBAS;65.92;69.03;67.2
BENGKAYANG;71.38;73.97;76.37
LANDAK;67.44;67.59;65.53
PONTIANAK;62.29;62.21;61.79
SANGGAU;69.77;71.28;73.86
KETAPANG;55.8;55.14;56.46
SINTANG;63.97;63.74;63.7
KAPUAS HULU;63.13;64.05;63.76
SEKADAU;57.4;57.25;57.74
MELAWI;69.5;73.71;73.59
KAYONG UTARA;47.87;47.97;47.36
KUBU RAYA;73.04;78.05;77.63
KOTA PONTIANAK;66.23;68.44;66.99
KOTA SINGKAWANG;71.47;71.34;69.66
KALIMANTAN TENGAH;82.08;81.98;79.99
KOTAWARINGIN BARAT;63.44;63;66.18
KOTAWARINGIN TIMUR;69.51;67.38;70.8
KAPUAS;73.02;73.35;74.37
BARITO SELATAN;86.17;86.34;86.33
BARITO UTARA;85.62;87.1;87.08
SUKAMARA;66.4;67.33;67.53
LAMANDAU;70.26;69.98;71.4
SERUYAN;63.19;62.16;66.83
KATINGAN;67.66;66.8;68.19
PULANG PISAU;70.35;69.68;71.01
GUNUNG MAS;88.71;89.15;89.29
BARITO TIMUR;82.44;82.56;81.48
MURUNG RAYA;67.72;67.48;66.69
KOTA PALANGKA RAYA;78.72;80.48;81.85
KALIMANTAN SELATAN;74.58;74.8;75.97
TANAH LAUT;72.86;73.54;76.45
KOTA BARU;72.6;74.85;75.95
BANJAR;80.24;80.83;80.86
BARITO KUALA;78.17;78.8;79.24
TAPIN;73.19;72.82;73.53
HULU SUNGAI SELATAN;53.55;54.45;55.12
HULU SUNGAI TENGAH;77.48;77.89;77.73
HULU SUNGAI UTARA;70.07;71.81;70.65
TABALONG;74.65;74.6;72.54
TANAH BUMBU;66.87;65.72;67.75
BALANGAN;70.57;70.03;73.27
KOTA BANJARMASIN;79.45;79.73;79.48
KOTA BANJAR BARU;69.7;69.33;70.2
KALIMANTAN TIMUR;66.64;66.89;68.96
PASIR;65.67;64.94;68.35
KUTAI BARAT;65.34;66.01;66.9
KUTAI KARTANEGARA;62.76;63.4;63.55
KUTAI TIMUR;53.78;51.55;53.99
BERAU;56.48;58.17;57.53
MALINAU;70.11;69.1;72.55
BULUNGAN;64.45;65.72;0
NUNUKAN;77.67;77.41;78.68
PENAJAM PASER UTARA;49.85;50.58;50.02
TANA TIDUNG;60.52;60.82;61.54
MAHAKAM ULU;80.43;81.11;82.42
KOTA BALIKPAPAN;68.62;69.27;72
KOTA SAMARINDA;67.54;68.63;68.71
KOTA TARAKAN;58.92;59.15;58.61
KOTA BONTANG;45.67;46.12;47.2
KALIMANTAN UTARA;61.7;61.92;58.86
MALINAU;70.11;69.1;72.55
BULONGAN;64.45;65.72;65.55
TANA TIDUNG;60.52;60.82;61.54
NUNUKAN;77.67;77.41;78.68
KOTA TARAKAN;58.92;59.15;58.61
SULAWESI UTARA;79.07;78.99;80.56
BOLAANG MONGONDOW;77.36;71.41;76.79
MINAHASA;87.29;87.16;87.8
KEPULAUAN SANGIHE;61.32;61.58;62.99
KEPULAUAN TALAUD;68.46;69.09;68.21
MINAHASA SELATAN;77.59;75.16;73.84
MINAHASA UTARA;63.95;65.6;67.07
BOLAANG MONGONDOW UTARA;60.61;57.19;58.6
SIAU TAGULANDANG BIARO;74.47;75.75;78.24
MINAHASA TENGGARA;80.11;80.09;80.63
BOLAANG MONGONDOW SELATAN;71.51;62.98;65.11
BOLAANG MONGONDOW TIMUR;70.59;70.13;66.1
